시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
화성시,오산동,1289,48,1241,0,654,535,100,65,1004,1.28,1,2022-05-31
화성시,우정읍,1116,86,1029,1,642,377,97,69,708,1.58,2,2022-05-31
화성시,원천동,3,0,3,0,2,0,1,3,2,1.5,0,2022-05-31
화성시,장덕동,4,0,4,0,1,3,0,2,3,1.33,0,2022-05-31
화성시,장안면,788,97,690,1,463,217,108,60,400,1.97,0,2022-05-31
화성시,장전동,2,0,2,0,0,2,0,2,1,2,0,2022-05-31
화성시,장지동,1214,60,1154,0,627,487,100,59,909,1.34,1,2022-05-31
화성시,정남면,772,59,712,1,392,308,72,64,503,1.53,1,2022-05-31
화성시,중동,40,21,19,0,7,11,22,12,10,4,0,2022-05-31
화성시,진안동,1856,53,1802,1,962,756,138,75,1360,1.36,3,2022-05-31
화성시,청계동,2046,90,1956,0,1052,879,115,66,1679,1.22,4,2022-05-31
화성시,팔탄면,753,87,665,1,345,305,103,62,412,1.83,1,2022-05-31
화성시,향남읍,5180,314,4863,3,2110,2584,486,103,3719,1.39,6,2022-05-31
화성시,활초동,15,0,15,0,4,11,0,7,11,1.36,0,2022-05-31
화성시,황계동,52,16,36,0,19,13,20,15,24,2.17,0,2022-05-31

