시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
파주시,송촌동,68,1,67,0,50,18,0,20,26,2.62,0,2023-02-14
파주시,신촌동,57,2,55,0,26,27,4,25,39,1.46,0,2023-02-14
파주시,아동동,1125,39,1086,0,572,468,85,55,815,1.38,1,2023-02-14
파주시,야당동,4263,74,4187,2,2460,1582,221,94,2951,1.44,6,2023-02-14
파주시,야동동,387,9,377,1,202,170,15,52,292,1.33,0,2023-02-14
파주시,연다산동,64,4,60,0,26,35,3,23,37,1.73,0,2023-02-14
파주시,오도동,68,0,68,0,44,22,2,22,35,1.94,0,2023-02-14
파주시,와동동,3845,56,3787,2,2398,1277,170,82,2163,1.78,3,2023-02-14
파주시,월롱면,566,15,550,1,315,225,26,64,355,1.59,0,2023-02-14
파주시,적성면,377,22,355,0,194,155,28,48,265,1.42,0,2023-02-14
파주시,조리읍,1979,94,1885,0,1039,785,155,79,1364,1.45,0,2023-02-14
파주시,진동면,10,0,10,0,10,0,0,7,5,2,0,2023-02-14
파주시,탄현면,1265,55,1209,1,745,446,74,80,767,1.65,0,2023-02-14
파주시,파주읍,1144,53,1090,1,583,461,100,66,682,1.68,0,2023-02-14
파주시,파평면,232,9,223,0,112,107,13,35,123,1.89,0,2023-02-14
파주시,하지석동,71,4,67,0,42,29,0,25,38,1.87,0,2023-02-14
평택시,가재동,225,48,177,0,93,78,54,30,148,1.52,,2023-01-31
평택시,고덕면,1636,396,1240,0,662,550,424,85,1068,1.53,,2023-01-31
평택시,군문동,252,28,224,0,128,92,32,40,186,1.35,,2023-01-31
평택시,도일동,107,46,61,1,37,23,48,28,66,1.64,,2023-01-31
평택시,독곡동,701,81,620,1,367,241,94,47,502,1.4,,2023-01-31
평택시,동삭동,2039,152,1887,0,1028,807,204,73,1507,1.35,,2023-01-31
평택시,모곡동,10,2,8,0,4,4,2,5,9,1.11,,2023-01-31
평택시,비전동,4061,413,3648,1,1985,1597,480,88,3089,1.31,,2023-01-31
평택시,서정동,3409,246,3163,6,1847,1188,380,82,2439,1.4,,2023-01-31
평택시,서탄면,329,91,238,1,124,115,91,51,215,1.53,,2023-01-31
평택시,세교동,1660,198,1462,0,767,657,236,70,1261,1.32,,2023-01-31
평택시,소사동,672,94,578,0,297,260,115,48,506,1.33,,2023-01-31
평택시,신대동,76,13,63,0,33,30,13,17,46,1.65,,2023-01-31
평택시,신장동,1779,138,1641,1,960,617,203,72,1226,1.45,,2023-01-31
평택시,안중읍,2695,320,2375,1,1223,1106,367,90,1955,1.38,,2023-01-31
평택시,오성면,719,276,443,0,217,220,282,59,406,1.77,,2023-01-31
평택시,용이동,2216,220,1996,0,1062,879,275,86,1708,1.3,,2023-01-31
평택시,월곡동,59,4,55,2,25,30,6,21,36,1.69,,2023-01-31
평택시,유천동,42,9,33,0,22,11,9,14,36,1.17,,2023-01-31
평택시,이충동,1751,136,1615,0,826,744,181,65,1338,1.31,,2023-01-31
평택시,장당동,604,38,566,0,294,257,53,42,464,1.3,,2023-01-31
평택시,장안동,437,56,381,1,207,161,70,42,332,1.32,,2023-01-31
평택시,죽백동,1062,101,961,0,491,441,130,62,789,1.35,,2023-01-31
평택시,지산동,2134,244,1890,0,1093,788,253,82,1529,1.4,,2023-01-31
